organoid_id,day,missing_metabolites,count_missing
BA2_96_1_E1,Dy13,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E7,Dy13,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E8,Dy13,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_H12,Dy13,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_A1,Dy15,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_C1,Dy15,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_D10,Dy15,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E1,Dy15,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E7,Dy15,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E8,Dy15,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_H12,Dy15,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_A4,Dy17,GlutamateGlo,1
BA2_96_1_B5,Dy17,GlutamateGlo,1
BA2_96_1_C1,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_D10,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E1,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E7,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_E8,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_H12,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_A1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_B12,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_B9,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_C1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_D10,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA2_96_1_D7,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
