well,initial_area,final_area,days_elapsed,growth_rate_um2_per_day,has_split_at_end,n_timepoints
ba2961_B6,257426.93976825685,1588566.1980401797,27,49301.45401007122,False,11
ba2961_B7,292315.70804590534,2022487.5939901003,27,64080.440220155375,False,11
ba2961_B8,262154.85696476063,617562.6776581892,27,13163.252618275132,False,11
ba2961_B9,283444.07031798305,5005916.817082723,27,174906.3980283237,False,11
ba2961_C1,256122.68674853168,1340933.7265751974,27,40178.18666024688,True,13
ba2961_C10,263853.1030841944,1151179.5049266769,27,32863.94080898083,False,11
ba2961_C11,227170.98690442383,2205174.945580304,27,73259.40587688446,False,11
ba2961_C12,316349.2871281328,2324085.2549913195,27,74360.59140234024,False,11
ba2961_C2,298891.3170203531,2648187.87959423,27,87010.98379903249,False,11
ba2961_C3,253921.75977774544,1316404.0949678172,27,39351.19759963229,False,11
ba2961_C4,254560.30031865256,1967899.4296828825,27,63457.00479126778,False,11
ba2961_C5,257725.8310852772,5494470.549263109,27,193953.50808066048,False,11
ba2961_C6,269858.10136251245,633448.534318207,27,13466.312331692388,False,11
ba2961_C7,256978.60279272633,5500806.228080407,27,194215.8379736178,False,11
ba2961_C8,269246.7327595163,1718826.3290600064,27,53688.133196314455,False,11
ba2961_C9,269735.8276419132,1425560.9556206595,27,42808.3380732869,False,11
ba2961_D1,253826.65799505715,1861137.1283059986,27,59530.01741892376,False,11
ba2961_D10,247278.2209585203,1380570.4963788693,27,41973.78797853145,True,14
ba2961_D11,234235.69076126855,1576768.6133147255,27,49723.441576053956,False,11
ba2961_D12,305711.47343599936,2311976.1828803746,27,74306.10034979168,False,11
ba2961_D2,255864.55333837774,1904375.4710044048,27,61055.95991355656,False,11
ba2961_D3,236395.85982518838,1354736.5113447472,27,41420.02413035403,False,11
ba2961_D4,271012.90872372745,3500597.356329624,27,119614.2388002184,False,11
ba2961_D5,247590.69824449613,720334.0469084755,27,17509.012913480718,False,11
ba2961_D6,249886.72699797066,1882201.4627497967,27,60456.10132414171,False,11
ba2961_D7,300046.1243815681,5723782.678799086,27,200879.13164509326,False,11
ba2961_D8,263540.6257982186,1252101.4178256132,27,36613.36266768128,False,11
ba2961_D9,260198.47743517286,1465158.789501145,27,44628.15970614712,False,11
ba2961_E1,253704.3842744579,1082165.5810789284,27,30683.748029795202,True,14
ba2961_E10,243324.70399247837,2073376.845594618,27,67779.7089482274,False,11
ba2961_E11,241191.7068664695,2443170.776056673,27,81554.7803403779,False,11
ba2961_E12,302722.5602657958,775623.057833047,27,17514.833243231526,False,11
ba2961_E2,246626.09444865774,1739442.9003871619,27,55289.51133105571,False,11
ba2961_E3,256462.33597241843,530112.5941817191,27,10135.194748492619,False,11
ba2961_E4,255986.82705897698,1150809.613656407,27,33141.5846887937,False,11
ba2961_E5,243433.39174412214,1645918.812893626,27,51943.90448701866,False,11
ba2961_E6,262779.8115367123,1867736.7672860795,27,59442.85021293952,False,11
ba2961_E7,251150.22211082943,1924252.25979102,27,61966.74213630335,True,15
ba2961_E8,261339.69882743238,743306.2415884031,27,17850.61269485077,True,14
ba2961_E9,255321.1145801589,4992824.954000732,27,175463.10516372492,False,11
ba2961_F1,246626.09444865774,622293.3923253269,27,13913.603625061822,False,11
ba2961_F10,265673.6229242275,1021892.7719865082,27,28008.116631936322,False,11
ba2961_F11,259030.08410500237,2138107.8178918716,27,69595.4716217359,False,11
ba2961_F12,245566.38887013102,2370380.067659851,27,78696.80291813778,False,11
ba2961_F2,254465.19853596427,695609.7356851636,27,16338.686561081458,False,11
ba2961_F3,244995.77817400126,2466668.6056996156,27,82284.17879724497,False,11
ba2961_F4,231994.0058836159,1619247.7055109984,27,51379.76665286602,False,11
ba2961_F5,257671.4872094553,914565.8997234227,27,24329.422685702495,False,11
ba2961_F6,263676.4854877733,899244.6139496065,27,23539.56031340123,False,11
ba2961_F7,282520.22442901105,616959.1708488013,27,12386.627645177416,False,11
ba2961_F8,272982.8742222707,879212.081470246,27,22452.933601776862,False,11
ba2961_F9,256530.2658171958,1513692.4177528904,27,46561.5611828035,False,11
ba2961_G1,250661.12722843248,1166053.0275838503,27,33903.40371686733,False,11
ba2961_G10,247930.3474683829,1674906.60770584,27,52850.97260138729,False,11
ba2961_G11,225989.0076052979,1925517.6772945754,27,62945.506284788054,False,11
ba2961_G12,98117.86779640864,1995193.5118364915,27,70262.06089037344,False,11
ba2961_G2,269083.7011320506,2164837.329159279,27,70213.09733434179,False,11
ba2961_G3,240227.10307063107,916551.6318059249,27,25049.0566198257,False,11
ba2961_G4,269817.343455646,3416867.868313758,27,116557.42684659675,False,11
ba2961_G5,256869.91504108257,1382497.8245765918,27,41689.92257538923,False,11
ba2961_G6,254397.2686911869,1043463.2734317282,27,29224.66684224227,False,11
ba2961_G7,317707.8840236799,1296371.5624884567,27,36246.80290610284,False,11
ba2961_G8,250661.12722843248,4805573.724225147,27,168700.46655543387,False,11
ba2961_G9,252359.37334786632,1660227.764664598,27,52143.27375247154,False,11
ba2961_H1,257725.8310852772,2003973.5625150062,27,64675.84190480477,False,11
ba2961_H10,252535.99094428745,1929742.2249602908,27,62118.74940800012,False,11
ba2961_H11,237509.90927953695,1708410.9696076664,27,54477.81704918998,False,11
ba2961_H12,0.0,0.0,27,0.0,False,11
ba2961_H2,276161.9909578508,804435.6409909223,27,19565.690741965613,False,11
ba2961_H3,260035.4458077072,941801.5779922521,27,25250.597488316474,False,11
ba2961_H4,239384.7729953919,1627716.2688040226,27,51419.68502994929,False,11
ba2961_H5,253677.21233654697,1352633.971492686,27,40702.102190968115,False,11
ba2961_H6,282099.05939139146,1778281.483765514,27,55414.163865708244,False,11
ba2961_H7,275360.418789478,1359350.418242326,27,40147.777757512886,False,11
ba2961_H8,288144.8155765759,4264976.356720142,27,147290.05707939135,False,11
ba2961_H9,269151.630976828,1110102.1059651114,27,31146.31388845494,False,11
ba2962_A1,1290.6670507697065,0.0,27,-47.802483361840984,False,10
ba2962_A10,240036.8995052545,0.0,21,-11430.328547869261,False,5
ba2962_A11,222225.69420463254,2196258.6191706373,27,73112.33055429647,False,11
ba2962_A12,243175.2583339682,0.0,21,-11579.774206379438,False,5
ba2962_A2,250158.44637708008,734448.3190635158,27,17936.66195134947,False,11
ba2962_A3,256897.0869789935,1021386.604985086,27,28314.426592818243,False,11
ba2962_A4,238569.61485806367,5251969.0726577155,27,185681.4613999871,False,11
ba2962_A5,244452.33941578242,1660266.7005877844,27,52437.56893229637,False,11
